,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,ORPM,DRPM,RPM,RPM_WINS
FG,3.3243846153846155,6.873676923076923,0.022745076923076934,0.9736461538461535,2.3316153846153846,0.04688415384615384,2.3959384615384622,4.53406153846154,0.022976615384615384,2.1934307692307695,2.33463076923077,0.07055415384615384,-0.09406153846153842,0.18260000000000012,0.6185076923076926,-0.024584615384615396,-0.06341538461538461,1.0540769230769231,-0.4097230769230768,9.83186153846154,2.370307692307693,-0.476,1.978529230769231,-0.6312830769230766,1.3472461538461544,1.42435076923077
FGA,6.873676923076923,16.577615384615385,0.004998615384615397,1.9513692307692305,5.189523076923077,0.08207523076923078,5.008707692307691,11.330092307692308,-0.0047030769230769365,4.230446153846153,4.5032461538461535,0.14492923076923078,-0.1324923076923077,0.1901999999999998,0.9846615384615389,-0.6398769230769231,-0.16692307692307684,2.6636153846153854,-1.0293846153846153,19.99829230769231,-4.655538461538464,0.5240000000000002,3.142313846153846,-2.6234246153846157,0.5188892307692302,-1.0220738461538468
FG%,0.022745076923076934,0.004998615384615397,0.0009363646153846158,0.008032769230769227,0.009950923076923078,0.0005594692307692306,0.015240307692307708,-0.004340307692307665,0.0011316769230769236,0.01932384615384617,0.020155846153846177,0.00050804923076923,-0.001719692307692305,0.0032860000000000155,0.00288046153846155,0.008756923076923084,0.0003870769230769232,-0.0025693846153846075,-0.0008593846153846119,0.07241769230769234,0.1873984615384615,-0.033200000000000014,0.02945975384615385,0.021690215384615387,0.051149969230769254,0.07831704615384616
3P,0.9736461538461535,1.9513692307692305,0.008032769230769227,1.1378615384615383,2.461153846153846,0.055403538461538455,-0.13301538461538456,-0.5197846153846154,0.008786153846153846,0.3953076923076923,0.1613076923076922,0.06310953846153847,-0.10141538461538457,-0.38420000000000004,-0.7127230769230769,-0.24664615384615385,-0.06815384615384615,-0.1490307692307692,0.01316923076923078,3.4928153846153847,4.385076923076924,-0.272,1.5292523076923072,-0.42771076923076917,1.1015415384615386,1.7106676923076927
3PA,2.3316153846153846,5.189523076923077,0.009950923076923078,2.461153846153846,5.580384615384616,0.11374784615384614,-0.06633846153846143,-0.4248615384615388,0.013043384615384625,0.9157692307692308,0.41216923076923073,0.13973784615384618,-0.16553846153846155,-0.765,-1.5613076923076927,-0.6882153846153843,-0.16498461538461537,-0.12487692307692298,-0.01987692307692305,8.08013846153846,7.549692307692307,0.03600000000000002,3.073510769230769,-1.2797169230769232,1.7937938461538465,2.5513692307692306
3P%,0.04688415384615384,0.08207523076923078,0.0005594692307692306,0.055403538461538455,0.11374784615384614,0.004975958461538462,-0.0076553846153846195,-0.03162461538461538,0.0005042338461538461,0.048241692307692326,0.04392569230769231,0.004322058461538462,-0.010319384615384612,-0.019958000000000004,-0.021977076923076926,-0.005254153846153843,-0.004361846153846154,-0.008888769230769224,0.006469230769230774,0.1963933846153846,0.32149692307692307,-0.03196,0.10871910769230772,-0.009891569230769228,0.09882753846153847,0.1515512923076923
2P,2.3959384615384622,5.008707692307691,0.015240307692307708,-0.13301538461538456,-0.06633846153846143,-0.0076553846153846195,2.5469538461538463,5.077446153846155,0.014750461538461535,1.818923076923077,2.192923076923077,0.00867261538461536,0.004153846153846201,0.5696,1.30683076923077,0.21366153846153843,0.005538461538461543,1.1995076923076926,-0.43049230769230745,6.482646153846154,-1.906769230769231,-0.2160000000000004,0.4972769230769234,-0.18409230769230778,0.3131846153846157,-0.16647692307692294
2PA,4.53406153846154,11.330092307692308,-0.004340307692307665,-0.5197846153846154,-0.4248615384615388,-0.03162461538461538,5.077446153846155,11.734153846153845,-0.017054461538461546,3.323076923076923,4.111076923076924,0.004043384615384584,0.0370461538461538,0.9704000000000003,2.5763692307692314,0.0683384615384616,6.153846153847337e-05,2.7856923076923077,-0.9983076923076921,11.89855384615385,-12.101230769230767,0.46799999999999936,0.08788307692307715,-1.3276676923076922,-1.2397846153846146,-3.5014830769230763
2P%,0.022976615384615384,-0.0047030769230769365,0.0011316769230769236,0.008786153846153846,0.013043384615384625,0.0005042338461538461,0.014750461538461535,-0.017054461538461546,0.001502135384615385,0.01717476923076924,0.01729476923076924,0.0005014338461538453,0.00016246153846153854,0.006192000000000009,-0.0027243076923077103,0.009635384615384612,0.0008686153846153842,-0.0050590769230769266,0.0001369230769230767,0.07152953846153846,0.22842769230769228,-0.03316000000000002,0.03248763076923077,0.02840412307692308,0.060891753846153834,0.09047716923076923
FT,2.1934307692307695,4.230446153846153,0.01932384615384617,0.3953076923076923,0.9157692307692308,0.048241692307692326,1.818923076923077,3.323076923076923,0.01717476923076924,3.3649384615384617,3.8633384615384614,0.05766369230769228,-0.0350769230769231,0.20299999999999993,1.419184615384616,0.33196923076923085,-0.007169230769230756,1.028846153846154,-0.12375384615384602,8.143276923076925,5.309384615384615,-0.9719999999999998,1.8783815384615385,0.02100615384615392,1.8993876923076927,2.8890584615384616
FTA,2.33463076923077,4.5032461538461535,0.020155846153846177,0.1613076923076922,0.41216923076923073,0.04392569230769231,2.192923076923077,4.111076923076924,0.01729476923076924,3.8633384615384614,4.6529384615384615,0.03374369230769229,0.028123076923076903,0.4405999999999998,1.7139846153846159,0.4547692307692309,0.03123076923076926,1.3060461538461536,-0.018553846153846035,8.678876923076924,4.397384615384616,-0.8079999999999996,1.6868215384615386,0.008406153846153808,1.6952276923076923,2.519258461538461
FT%,0.07055415384615384,0.14492923076923078,0.00050804923076923,0.06310953846153847,0.13973784615384618,0.004322058461538462,0.00867261538461536,0.004043384615384584,0.0005014338461538453,0.05766369230769228,0.03374369230769229,0.007368018461538464,-0.01215138461538462,-0.03276800000000001,-0.02571107692307696,-0.010366153846153855,-0.006457846153846153,-0.0076707692307692345,-0.014514769230769236,0.2628073846153846,0.341636923076923,-0.04196,0.11447630769230768,-0.003949569230769222,0.11052673846153846,0.16759529230769232
ORB,-0.09406153846153842,-0.1324923076923077,-0.001719692307692305,-0.10141538461538457,-0.16553846153846155,-0.010319384615384612,0.004153846153846201,0.0370461538461538,0.00016246153846153854,-0.0350769230769231,0.028123076923076903,-0.01215138461538462,0.19175384615384616,0.1796,-0.20956923076923065,0.11046153846153849,0.04113846153846153,0.0591076923076923,0.0847076923076923,-0.32415384615384635,-0.5867692307692306,-0.24000000000000005,0.0450369230769231,0.1871476923076923,0.2321846153846154,-0.05479692307692313
DRB,0.18260000000000012,0.1901999999999998,0.0032860000000000155,-0.38420000000000004,-0.765,-0.019958000000000004,0.5696,0.9704000000000003,0.006192000000000009,0.20299999999999993,0.4405999999999998,-0.03276800000000001,0.1796,1.3122000000000003,1.3613999999999995,0.3716,0.026000000000000027,0.6174,-0.06320000000000003,0.17420000000000005,-1.4940000000000004,-1.5360000000000003,-0.08183999999999993,0.71592,0.6340800000000001,0.5495599999999999
AST,0.6185076923076926,0.9846615384615389,0.00288046153846155,-0.7127230769230769,-1.5613076923076927,-0.021977076923076926,1.30683076923077,2.5763692307692314,-0.0027243076923077103,1.419184615384616,1.7139846153846159,-0.02571107692307696,-0.20956923076923065,1.3613999999999995,7.680446153846156,0.9360923076923079,-0.23329230769230763,1.6242615384615386,-0.21113846153846166,1.9217692307692305,1.7198461538461545,-2.4200000000000004,1.3982953846153847,0.5055815384615387,1.9038769230769237,4.373944615384615
STL,-0.024584615384615396,-0.6398769230769231,0.008756923076923084,-0.24664615384615385,-0.6882153846153843,-0.005254153846153843,0.21366153846153843,0.0683384615384616,0.009635384615384612,0.33196923076923085,0.4547692307692309,-0.010366153846153855,0.11046153846153849,0.3716,0.9360923076923079,0.4993846153846155,0.027015384615384618,0.11332307692307693,0.09612307692307694,0.019938461538461558,2.111692307692308,-1.328,0.46139076923076927,0.7518030769230769,1.2131938461538463,1.7711292307692315
BLK,-0.06341538461538461,-0.16692307692307684,0.0003870769230769232,-0.06815384615384615,-0.16498461538461537,-0.004361846153846154,0.005538461538461543,6.153846153847337e-05,0.0008686153846153842,-0.007169230769230756,0.03123076923076926,-0.006457846153846153,0.04113846153846153,0.026000000000000027,-0.23329230769230763,0.027015384615384618,0.05058461538461539,-0.033723076923076925,0.017476923076923067,-0.20553846153846164,-0.19569230769230772,-0.01999999999999998,-0.13667076923076923,0.05959692307692306,-0.07707384615384616,-0.10488923076923082
TOV,1.0540769230769231,2.6636153846153854,-0.0025693846153846075,-0.1490307692307692,-0.12487692307692298,-0.008888769230769224,1.1995076923076926,2.7856923076923077,-0.0050590769230769266,1.028846153846154,1.3060461538461536,-0.0076707692307692345,0.0591076923076923,0.6174,1.6242615384615386,0.11332307692307693,-0.033723076923076925,1.2856153846153846,-0.19018461538461534,2.9950923076923077,-3.7275384615384617,-0.584,0.06659384615384621,-0.0809446153846154,-0.014350769230769113,-0.41595384615384634
PF,-0.4097230769230768,-1.0293846153846153,-0.0008593846153846119,0.01316923076923078,-0.01987692307692305,0.006469230769230774,-0.43049230769230745,-0.9983076923076921,0.0001369230769230767,-0.12375384615384602,-0.018553846153846035,-0.014514769230769236,0.0847076923076923,-0.06320000000000003,-0.21113846153846166,0.09612307692307694,0.017476923076923067,-0.19018461538461534,0.4390153846153846,-0.9431076923076921,0.9944615384615384,0.408,-0.017926153846153804,-0.10386461538461536,-0.12179076923076922,0.023006153846153933
PTS,9.83186153846154,19.99829230769231,0.07241769230769234,3.4928153846153847,8.08013846153846,0.1963933846153846,6.482646153846154,11.89855384615385,0.07152953846153846,8.143276923076925,8.678876923076924,0.2628073846153846,-0.32415384615384635,0.17420000000000005,1.9217692307692305,0.019938461538461558,-0.20553846153846164,2.9950923076923077,-0.9431076923076921,31.345553846153848,14.344769230769227,-2.2199999999999993,7.3456030769230765,-1.6763476923076923,5.6692553846153855,7.415516923076922
ORtg,2.370307692307693,-4.655538461538464,0.1873984615384615,4.385076923076924,7.549692307692307,0.32149692307692307,-1.906769230769231,-12.101230769230767,0.22842769230769228,5.309384615384615,4.397384615384616,0.341636923076923,-0.5867692307692306,-1.4940000000000004,1.7198461538461545,2.111692307692308,-0.19569230769230772,-3.7275384615384617,0.9944615384615384,14.344769230769227,71.37384615384619,-9.639999999999999,13.459415384615387,4.871661538461539,18.33107692307692,31.13978461538462
DRtg,-0.476,0.5240000000000002,-0.033200000000000014,-0.272,0.03600000000000002,-0.03196,-0.2160000000000004,0.46799999999999936,-0.03316000000000002,-0.9719999999999998,-0.8079999999999996,-0.04196,-0.24000000000000005,-1.5360000000000003,-2.4200000000000004,-1.328,-0.01999999999999998,-0.584,0.408,-2.2199999999999993,-9.639999999999999,12.32,-3.1159999999999997,-3.8451999999999993,-6.961200000000002,-8.9388
ORPM,1.978529230769231,3.142313846153846,0.02945975384615385,1.5292523076923072,3.073510769230769,0.10871910769230772,0.4972769230769234,0.08788307692307715,0.03248763076923077,1.8783815384615385,1.6868215384615386,0.11447630769230768,0.0450369230769231,-0.08183999999999993,1.3982953846153847,0.46139076923076927,-0.13667076923076923,0.06659384615384621,-0.017926153846153804,7.3456030769230765,13.459415384615387,-3.1159999999999997,5.970314461538463,0.7213658461538464,6.69168030769231,9.88097353846154
DRPM,-0.6312830769230766,-2.6234246153846157,0.021690215384615387,-0.42771076923076917,-1.2797169230769232,-0.009891569230769228,-0.18409230769230778,-1.3276676923076922,0.02840412307692308,0.02100615384615392,0.008406153846153808,-0.003949569230769222,0.1871476923076923,0.71592,0.5055815384615387,0.7518030769230769,0.05959692307692306,-0.0809446153846154,-0.10386461538461536,-1.6763476923076923,4.871661538461539,-3.8451999999999993,0.7213658461538464,3.693047384615385,4.414413230769233,5.556254153846155
RPM,1.3472461538461544,0.5188892307692302,0.051149969230769254,1.1015415384615386,1.7937938461538465,0.09882753846153847,0.3131846153846157,-1.2397846153846146,0.060891753846153834,1.8993876923076927,1.6952276923076923,0.11052673846153846,0.2321846153846154,0.6340800000000001,1.9038769230769237,1.2131938461538463,-0.07707384615384616,-0.014350769230769113,-0.12179076923076922,5.6692553846153855,18.33107692307692,-6.961200000000002,6.69168030769231,4.414413230769233,11.10609353846154,15.437227692307697
RPM_WINS,1.42435076923077,-1.0220738461538468,0.07831704615384616,1.7106676923076927,2.5513692307692306,0.1515512923076923,-0.16647692307692294,-3.5014830769230763,0.09047716923076923,2.8890584615384616,2.519258461538461,0.16759529230769232,-0.05479692307692313,0.5495599999999999,4.373944615384615,1.7711292307692315,-0.10488923076923082,-0.41595384615384634,0.023006153846153933,7.415516923076922,31.13978461538462,-8.9388,9.88097353846154,5.556254153846155,15.437227692307697,25.144978461538464
