RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,Chris Paul,LAC,61,31.5,5.16,2.76,7.92,13.48
2,Stephen Curry,GS,79,33.4,7.27,0.14,7.41,18.8
3,Russell Westbrook,OKC,81,34.6,6.74,-0.47,6.27,17.34
4,Kyle Lowry,TOR,60,37.4,4.7,1.18,5.88,12.67
5,Mike Conley,MEM,69,33.2,4.67,-0.2,4.47,10.5
6,George Hill,UTAH,49,31.5,2.64,1.11,3.75,6.28
7,Damian Lillard,POR,75,35.9,4.63,-1.49,3.14,10.72
8,Kemba Walker,CHA,79,34.7,3.93,-1.25,2.68,9.95
9,Ricky Rubio,MIN,75,32.9,1.73,0.76,2.49,8.72
10,Patrick Beverley,HOU,67,30.7,1.11,1.37,2.48,7.56
11,John Wall,WSH,78,36.4,3.52,-1.26,2.26,9.9
12,Kyrie Irving,CLE,72,35.1,4.35,-2.3,2.05,8.28
13,Isaiah Thomas,BOS,76,33.8,5.72,-3.89,1.83,8.19
14,Eric Bledsoe,PHX,66,33,2.33,-0.64,1.69,6.85
15,Jeff Teague,IND,82,32.4,1.86,-0.22,1.64,8.08
16,Malcolm Brogdon,MIL,75,26.4,1.86,-0.42,1.44,5.66
17,Patty Mills,SA,80,21.9,2.53,-1.26,1.27,4.86
18,Goran Dragic,MIA,73,33.7,2.54,-1.62,0.92,6.3
19,Marcus Smart,BOS,79,30.4,0.26,0.49,0.75,5.98
20,Ish Smith,DET,81,24.1,0.28,0.25,0.53,4.48
21,Elfrid Payton,ORL,82,29.4,1.12,-0.78,0.34,5.38
22,Tyus Jones,MIN,60,12.9,0.11,-0.34,-0.23,1.4
23,Delon Wright,TOR,27,16.5,-1.28,0.98,-0.3,0.77
24,Spencer Dinwiddie,BKN,59,22.6,-0.8,0.31,-0.49,2.29
25,Raul Neto,UTAH,40,8.7,-1.43,0.92,-0.51,0.53
26,Terry Rozier,BOS,74,17.1,-1.05,-0.01,-1.06,1.65
27,T.J. McConnell,PHI,81,26.3,-1.32,0.23,-1.09,2.86
28,J.J. Barea,DAL,35,22,0.15,-1.57,-1.42,0.8
29,Shabazz Napier,POR,53,9.7,-0.12,-1.39,-1.51,0.51
30,Jamal Murray,DEN,82,21.5,0.06,-1.57,-1.51,1.86
31,Michael Carter-Williams,CHI,45,18.8,-2.82,1.12,-1.7,0.77
32,Rajon Rondo,CHI,69,26.7,-1.35,-0.49,-1.84,1.51
33,Matthew Dellavedova,MIL,76,26.1,-0.88,-1.01,-1.89,1.54
34,Austin Rivers,LAC,74,27.8,-0.17,-1.73,-1.9,1.62
35,Avery Bradley,BOS,55,33.4,-0.44,-1.72,-2.16,1.13
36,Yogi Ferrell,DAL/BKN,46,26,-0.99,-1.21,-2.2,0.39
37,Derrick Rose,NY,64,32.5,0.11,-2.36,-2.25,1.17
38,Tim Frazier,NO,65,23.5,-0.73,-1.67,-2.4,0.7
39,Cory Joseph,TOR,80,25,-0.5,-1.94,-2.44,0.86
40,Dennis Schroder,ATL,79,31.5,0.31,-2.76,-2.45,1.07
41,Dante Exum,UTAH,66,18.6,-2.14,-0.65,-2.79,0.25
42,Dejounte Murray,SA,38,8.5,-1.97,-0.83,-2.8,0.07
43,Quinn Cook,NO/DAL,14,13.4,-1.44,-1.38,-2.82,0.01
44,Zach LaVine,MIN,47,37.2,-0.62,-2.35,-2.97,0.17
45,Kris Dunn,MIN,78,17.1,-2.64,-0.41,-3.05,0.06
46,Reggie Jackson,DET,52,27.4,-0.59,-2.94,-3.53,-0.36
47,Emmanuel Mudiay,DEN,55,25.6,-1.52,-2.38,-3.9,-0.71
48,Jordan Clarkson,LAL,82,29.2,-0.63,-3.39,-4.02,-1.4
49,D.J. Augustin,ORL,78,19.7,-1.53,-3.4,-4.93,-1.74
50,Trey Burke,WSH,57,12.3,-2.15,-3.09,-5.24,-0.92
51,Brandon Knight,PHX,54,21.1,-2.24,-3.08,-5.32,-1.63
